steps_per_min,heart_rate_bpm,accelerometer_magnitude,skin_temperature_c,calories_per_min,gyroscope_magnitude,true_activity
1.037,59.745,0.176,35.91,0.881,0.049,Sleeping
0.0,56.07,0.116,35.882,1.051,0.039,Sleeping
111.231,99.264,1.621,36.513,4.018,0.919,Walking
31.229,131.798,2.384,36.738,7.608,1.43,Cycling
2.611,53.747,0.158,35.831,1.045,0.04,Sleeping
2.938,77.184,0.357,36.315,1.163,0.195,Desk Work
2.065,58.879,0.076,36.3,1.138,0.05,Sleeping
152.191,136.58,3.636,36.667,9.58,2.286,Running
2.078,51.659,0.085,35.907,1.359,0.064,Sleeping
64.055,181.563,4.794,36.679,12.88,4.758,Gym
164.44,144.86,3.961,37.061,12.991,2.721,Running
94.46,148.651,4.061,36.717,10.35,1.676,Gym
166.523,143.081,3.93,36.804,12.04,2.724,Running
2.561,76.11,0.324,36.31,1.174,0.127,Desk Work
155.256,161.721,3.36,36.8,11.291,3.03,Running
0.183,53.916,0.063,36.075,1.02,0.052,Sleeping
1.515,75.536,0.259,36.029,1.362,0.128,Desk Work
0.109,50.487,0.131,36.057,0.977,0.054,Sleeping
0.0,52.345,0.094,35.997,1.282,0.065,Sleeping
0.0,50.637,0.082,36.05,1.229,0.062,Sleeping
1.0,74.41,0.242,36.161,1.685,0.204,Desk Work
0.0,51.515,0.208,36.056,0.997,0.037,Sleeping
6.23,68.089,0.323,35.956,1.045,0.173,Desk Work
162.4,160.955,3.889,36.865,10.072,2.589,Running
75.492,141.951,4.629,37.143,14.099,4.779,Gym
0.732,65.981,0.58,36.262,1.285,0.088,Desk Work
89.277,103.485,1.981,36.366,4.472,0.709,Walking
101.928,89.605,1.025,36.519,5.421,1.055,Walking
86.757,102.582,1.368,36.81,5.001,0.719,Walking
86.344,142.475,4.722,37.037,12.848,3.471,Gym
3.282,71.21,0.397,36.292,1.318,0.144,Desk Work
25.994,110.31,1.842,36.586,7.791,1.671,Cycling
140.16,120.195,3.012,36.335,11.756,3.164,Running
163.482,157.579,3.535,36.351,13.479,2.254,Running
34.071,138.808,2.424,36.299,12.181,1.265,Cycling
22.206,138.841,2.492,36.728,9.635,2.057,Cycling
86.98,103.247,1.383,36.293,4.833,0.665,Walking
73.559,82.43,1.46,36.598,4.809,0.413,Walking
81.166,153.336,3.499,36.746,16.708,3.024,Gym
0.418,51.829,0.091,35.908,0.682,0.079,Sleeping
1.025,74.915,0.279,36.712,1.186,0.133,Desk Work
3.029,79.79,0.422,36.344,1.494,0.171,Desk Work
154.718,146.998,4.062,37.002,14.268,2.507,Running
0.0,61.543,0.081,36.145,1.204,0.06,Sleeping
37.503,136.536,1.669,37.291,8.621,2.152,Cycling
95.956,98.893,2.093,36.11,5.121,0.65,Walking
15.398,127.452,1.512,37.078,11.229,1.251,Cycling
1.816,65.847,0.355,36.096,1.842,0.233,Desk Work
134.252,90.994,1.544,36.684,5.549,0.619,Walking
72.771,103.012,1.3,36.569,4.441,0.762,Walking
93.296,155.593,3.973,36.446,11.172,2.621,Gym
86.529,140.732,4.195,36.798,11.084,3.219,Gym
0.0,58.019,0.178,36.29,1.132,0.001,Sleeping
105.127,88.527,1.226,36.309,4.78,0.363,Walking
17.372,119.523,2.978,36.386,10.018,1.903,Cycling
4.49,72.174,0.306,35.998,0.872,0.26,Desk Work
1.152,62.213,0.042,36.052,1.05,0.057,Sleeping
0.0,57.836,0.088,36.076,1.379,0.037,Sleeping
109.829,88.786,1.925,36.169,5.876,1.104,Walking
135.966,158.442,4.075,36.241,13.002,3.439,Running
3.684,68.049,0.321,36.101,1.744,0.139,Desk Work
89.349,99.614,1.729,36.602,5.325,0.781,Walking
0.0,75.124,0.425,36.356,1.3,0.219,Desk Work
153.904,193.24,3.239,36.817,14.055,2.786,Running
0.0,51.112,0.087,35.841,0.881,0.074,Sleeping
0.0,51.892,0.0,35.908,0.591,0.074,Sleeping
97.502,114.177,5.198,36.85,16.961,3.778,Gym
102.741,109.283,1.614,36.072,5.35,0.784,Walking
138.278,137.762,3.574,36.47,14.056,2.863,Running
166.208,173.005,3.748,36.918,8.447,2.891,Running
34.357,138.624,1.575,36.398,8.647,1.423,Cycling
19.199,131.15,2.847,36.388,5.519,1.437,Cycling
0.879,87.214,0.271,36.279,0.851,0.088,Desk Work
0.0,50.459,0.0,35.651,0.528,0.054,Sleeping
88.206,101.306,1.246,36.398,5.427,0.605,Walking
68.284,136.919,4.797,36.746,14.384,3.272,Gym
93.112,96.803,1.616,36.45,5.672,0.942,Walking
35.068,120.367,1.599,36.404,8.165,2.0,Cycling
106.424,147.722,4.758,37.423,14.157,2.658,Gym
1.589,45.632,0.013,36.003,1.278,0.057,Sleeping
85.35,98.68,1.653,36.331,5.774,0.613,Walking
163.873,151.342,3.837,36.851,9.299,1.73,Running
183.686,138.598,4.078,36.232,10.368,2.932,Running
151.084,161.147,4.181,36.826,13.352,3.032,Running
2.692,76.824,0.286,36.23,1.679,0.141,Desk Work
2.753,71.981,0.041,36.094,1.334,0.183,Desk Work
1.285,48.629,0.059,36.241,1.538,0.054,Sleeping
163.931,153.247,3.152,36.766,11.939,2.682,Running
89.331,139.364,3.276,36.358,18.0,3.221,Gym
155.617,117.475,3.964,36.611,14.574,2.297,Running
2.603,62.934,0.418,35.87,1.874,0.252,Desk Work
0.0,75.441,0.289,36.16,1.411,0.133,Desk Work
5.004,71.42,0.097,35.983,1.42,0.088,Desk Work
13.976,115.516,1.935,36.217,6.347,1.636,Cycling
45.738,161.817,4.804,36.483,12.093,2.934,Gym
0.0,57.204,0.127,35.807,1.036,0.056,Sleeping
110.371,100.114,1.777,36.325,6.146,0.652,Walking
3.565,80.477,0.23,36.151,1.688,0.118,Desk Work
24.428,132.072,2.588,36.824,7.204,1.858,Cycling
10.513,124.958,3.134,36.679,7.305,1.194,Cycling
0.12,59.336,0.072,36.171,1.051,0.024,Sleeping
2.069,81.06,0.198,36.36,1.483,0.121,Desk Work
160.171,150.758,3.813,36.545,13.935,2.372,Running
3.01,86.232,0.18,36.557,1.632,0.061,Desk Work
62.719,158.287,4.796,35.823,10.792,3.257,Gym
1.268,65.978,0.434,36.132,1.493,0.195,Desk Work
42.478,155.0,4.177,36.519,14.009,2.752,Gym
0.759,55.594,0.02,35.79,0.78,0.085,Sleeping
145.157,172.816,4.014,36.828,12.815,4.016,Running
0.0,66.664,0.491,35.904,1.498,0.153,Desk Work
165.498,155.128,3.014,37.142,12.843,2.022,Running
159.923,170.388,4.088,36.641,8.172,3.012,Running
9.095,139.172,2.601,36.507,8.508,2.372,Cycling
0.0,66.75,0.079,35.866,0.877,0.079,Sleeping
58.309,136.39,5.16,37.512,12.287,3.859,Gym
25.947,105.196,2.031,36.791,10.387,1.818,Cycling
146.579,153.16,4.731,36.918,10.355,3.029,Running
79.655,97.755,1.581,36.375,6.181,0.799,Walking
1.561,52.509,0.065,35.861,0.568,0.067,Sleeping
92.603,151.171,4.174,37.723,16.671,2.886,Gym
78.407,110.195,1.498,36.627,5.127,0.802,Walking
142.655,167.82,3.848,37.037,15.09,3.527,Running
104.738,144.364,5.34,36.884,16.302,3.173,Gym
124.356,100.753,1.216,36.82,4.863,0.948,Walking
109.287,78.446,1.024,36.724,5.206,0.431,Walking
1.407,51.436,0.083,35.903,0.848,0.018,Sleeping
191.927,166.1,2.933,36.719,14.656,2.777,Running
2.554,62.637,0.0,36.062,0.835,0.053,Sleeping
0.0,53.673,0.11,36.24,0.959,0.032,Sleeping
31.345,136.872,2.613,36.18,9.83,1.598,Cycling
0.569,59.178,0.337,36.32,1.649,0.162,Desk Work
105.66,106.295,1.077,36.913,5.516,0.48,Walking
10.693,131.858,2.02,36.523,7.614,2.156,Cycling
144.872,149.236,3.957,36.592,12.845,3.024,Running
0.0,56.561,0.098,35.863,0.728,0.054,Sleeping
86.269,90.054,1.282,36.271,3.598,0.932,Walking
0.0,45.957,0.091,36.333,1.062,0.037,Sleeping
0.0,60.442,0.09,35.989,1.027,0.045,Sleeping
85.814,93.648,1.722,36.541,4.538,0.719,Walking
0.0,44.381,0.168,36.11,1.318,0.055,Sleeping
72.009,131.361,5.23,37.232,17.192,2.437,Gym
8.244,122.381,2.128,36.127,10.639,1.618,Cycling
15.896,145.347,1.719,36.595,6.195,1.324,Cycling
74.499,76.472,1.536,36.792,4.439,0.391,Walking
111.037,103.181,1.601,36.509,4.48,0.932,Walking
61.518,139.4,4.15,36.393,15.516,3.356,Gym
0.058,52.122,0.0,36.163,1.324,0.052,Sleeping
64.611,162.868,4.714,37.208,13.148,2.871,Gym
104.813,107.552,1.381,36.574,4.755,0.693,Walking
29.12,132.486,2.252,36.6,7.818,1.414,Cycling
170.184,157.466,3.714,36.685,13.538,2.944,Running
81.225,94.167,1.709,36.371,5.685,0.733,Walking
91.207,85.935,1.692,36.349,5.166,1.023,Walking
77.856,174.042,4.594,37.65,16.04,3.069,Gym
92.614,98.597,0.919,36.068,4.662,0.905,Walking
1.066,58.346,0.095,35.996,0.864,0.025,Sleeping
1.032,46.352,0.03,35.793,0.652,0.037,Sleeping
10.654,126.459,1.638,36.523,9.436,1.397,Cycling
83.516,142.074,3.714,37.082,16.166,3.419,Gym
26.491,107.639,1.965,36.37,8.959,1.624,Cycling
77.052,91.719,2.313,36.283,5.431,0.429,Walking
99.919,96.482,1.535,36.517,3.935,0.664,Walking
0.0,41.387,0.138,35.918,1.085,0.028,Sleeping
93.403,111.744,1.765,36.413,5.924,0.599,Walking
103.586,134.027,2.576,37.238,8.085,3.116,Gym
0.675,44.664,0.145,36.305,0.765,0.012,Sleeping
1.463,47.446,0.133,35.311,0.887,0.026,Sleeping
3.033,77.127,0.343,36.245,1.778,0.172,Desk Work
3.836,79.172,0.283,36.447,1.373,0.196,Desk Work
92.365,83.125,1.333,36.542,5.566,1.126,Walking
28.892,145.784,2.805,37.212,9.106,2.68,Gym
1.802,74.085,0.27,35.859,1.202,0.182,Desk Work
0.524,48.554,0.089,35.706,0.783,0.03,Sleeping
74.745,138.763,5.18,37.301,19.033,2.947,Gym
14.081,113.056,2.459,36.692,9.88,1.382,Cycling
0.886,70.287,0.201,36.078,1.494,0.157,Desk Work
0.669,45.987,0.077,36.199,0.914,0.051,Sleeping
74.2,103.442,1.461,36.209,5.621,0.927,Walking
3.365,80.892,0.393,36.33,1.59,0.185,Desk Work
0.0,62.183,0.047,35.808,1.169,0.085,Sleeping
2.198,77.899,0.452,36.248,1.759,0.094,Desk Work
4.603,66.497,0.335,36.279,1.76,0.214,Desk Work
21.969,126.097,2.657,36.543,9.818,1.575,Cycling
0.0,49.415,0.026,35.951,0.998,0.072,Sleeping
93.435,80.638,1.769,36.699,4.79,0.67,Walking
92.191,113.437,4.262,36.312,15.551,4.16,Gym
0.0,80.845,0.166,36.092,1.75,0.173,Desk Work
33.853,141.57,2.056,36.85,10.881,1.737,Cycling
114.971,102.952,1.943,36.626,2.836,0.643,Walking
104.481,91.785,1.637,36.376,4.608,0.803,Walking
1.248,69.569,0.38,36.06,1.797,0.085,Desk Work
92.051,103.462,1.285,36.147,4.812,0.536,Walking
2.583,81.901,0.282,35.972,1.922,0.209,Desk Work
25.48,131.881,2.045,36.549,8.119,1.537,Cycling
99.197,112.314,1.911,36.631,4.635,0.541,Walking
70.537,93.179,0.948,36.126,4.025,1.026,Walking
78.891,108.909,4.583,37.216,16.872,2.118,Gym
173.739,151.969,3.591,36.421,8.664,2.521,Running
65.806,161.125,4.594,36.448,11.418,3.968,Gym
174.524,150.143,3.559,36.381,8.167,2.342,Running
74.67,135.664,5.352,37.189,13.12,3.187,Gym
2.949,68.42,0.269,36.177,1.053,0.18,Desk Work
75.294,148.272,5.414,37.274,15.113,2.462,Gym
95.79,179.296,5.452,37.39,10.403,2.579,Gym
109.037,96.181,2.098,36.509,5.3,0.792,Walking
0.0,52.417,0.144,36.266,0.757,0.065,Sleeping
0.619,81.521,0.399,36.382,1.021,0.134,Desk Work
90.252,100.23,1.569,36.291,4.26,0.923,Walking
1.563,66.314,0.402,36.183,1.884,0.14,Desk Work
104.995,154.673,4.364,36.976,20.908,2.71,Gym
0.557,53.622,0.067,35.927,0.91,0.058,Sleeping
0.189,53.268,0.143,35.923,0.943,0.071,Sleeping
155.593,142.997,2.582,36.34,11.609,2.539,Running
1.243,58.891,0.214,35.952,0.991,0.078,Sleeping
65.025,133.196,3.116,37.05,10.539,3.127,Gym
68.571,170.676,3.372,36.621,16.607,3.473,Gym
96.382,92.293,1.54,36.351,3.62,0.782,Walking
108.292,89.587,1.341,36.357,4.052,0.653,Walking
141.633,151.956,3.257,36.57,14.82,2.138,Running
5.202,58.228,0.327,35.879,1.294,0.268,Desk Work
2.553,65.293,0.135,36.108,0.944,0.079,Sleeping
2.832,80.552,0.244,36.342,1.637,0.144,Desk Work
1.993,77.581,0.172,36.128,1.655,0.177,Desk Work
82.596,142.156,4.462,36.911,13.712,3.835,Gym
23.214,147.463,2.183,36.329,10.638,2.166,Cycling
31.205,137.551,4.784,37.432,17.287,3.6,Gym
197.762,155.464,4.212,36.97,14.706,2.043,Running
15.993,135.729,2.512,36.555,11.01,1.466,Cycling
169.562,174.327,4.257,36.825,6.521,1.832,Running
60.536,146.189,3.679,36.584,15.636,3.146,Gym
1.138,60.016,0.204,36.452,1.514,0.21,Desk Work
1.44,74.178,0.346,36.341,1.407,0.151,Desk Work
93.012,73.476,1.487,36.231,3.796,1.036,Walking
75.585,131.873,3.178,37.597,13.407,3.03,Gym
0.874,53.48,0.159,36.08,0.986,0.082,Sleeping
10.788,118.424,2.449,36.378,6.997,2.118,Cycling
64.928,132.337,4.12,37.249,16.371,1.633,Gym
0.0,66.385,0.321,36.132,1.594,0.184,Desk Work
94.789,84.82,1.845,36.619,5.041,0.523,Walking
146.828,150.213,3.796,37.157,13.654,3.01,Running
18.774,120.786,2.727,36.307,6.777,1.439,Cycling
171.091,142.087,3.728,37.244,8.8,3.338,Running
166.585,145.667,2.801,36.86,9.72,2.569,Running
124.014,90.344,1.357,36.389,6.051,0.504,Walking
178.088,149.303,2.982,36.681,12.011,2.935,Running
98.502,84.516,1.86,36.793,5.351,0.489,Walking
104.063,92.082,1.683,36.433,5.148,0.472,Walking
0.0,77.555,0.256,36.386,1.673,0.19,Desk Work
17.409,118.958,2.524,36.585,7.552,1.013,Cycling
163.566,165.525,4.202,36.953,15.414,3.108,Running
0.66,84.509,0.399,36.194,1.483,0.219,Desk Work
104.056,106.793,1.231,36.246,6.051,0.72,Walking
3.312,69.503,0.239,35.985,1.745,0.132,Desk Work
0.0,49.399,0.16,35.996,1.009,0.042,Sleeping
110.823,147.911,5.358,37.194,14.367,2.516,Gym
9.587,139.322,2.286,36.585,9.995,1.682,Cycling
155.735,151.561,3.868,36.989,9.853,3.048,Running
0.0,50.703,0.07,35.995,0.815,0.049,Sleeping
90.945,156.616,4.685,37.894,7.097,3.459,Gym
33.122,129.474,2.293,36.985,8.4,2.21,Cycling
2.353,86.989,0.278,36.245,1.378,0.198,Desk Work
116.258,85.435,1.485,36.347,5.453,1.077,Walking
98.872,138.769,4.94,36.619,19.521,4.781,Gym
165.751,156.965,3.87,36.517,8.766,1.37,Running
144.766,157.372,4.73,37.281,14.091,1.938,Running
82.367,91.142,1.399,36.11,4.843,0.929,Walking
112.454,86.702,1.597,36.183,4.895,0.765,Walking
0.02,54.002,0.169,35.659,0.845,0.025,Sleeping
88.501,77.38,1.68,36.466,4.899,0.911,Walking
1.25,74.526,0.358,36.544,1.284,0.125,Desk Work
178.338,159.034,4.005,37.167,15.1,2.701,Running
0.0,54.962,0.178,35.618,0.714,0.037,Sleeping
1.232,71.213,0.455,36.03,0.943,0.194,Desk Work
20.241,117.008,2.495,36.828,8.438,1.597,Cycling
85.523,81.269,1.939,36.603,4.15,0.99,Walking
161.382,160.098,4.089,36.828,8.919,2.504,Running
118.267,144.222,4.356,37.007,14.06,3.694,Gym
164.709,152.695,4.993,36.087,9.063,2.551,Running
94.103,91.674,1.444,36.429,5.616,0.583,Walking
160.187,177.476,3.788,36.86,13.696,2.047,Running
173.912,138.333,3.857,36.454,13.991,2.221,Running
1.325,64.953,0.318,35.805,1.519,0.177,Desk Work
97.951,102.954,1.454,36.244,5.158,0.639,Walking
6.693,106.05,1.573,36.97,9.214,1.829,Cycling
59.877,171.779,4.255,36.876,9.85,3.369,Gym
1.856,62.322,0.034,36.06,1.167,0.057,Sleeping
99.738,85.551,1.77,36.203,5.027,1.006,Walking
166.785,175.726,3.079,36.79,14.113,2.676,Running
105.896,156.246,4.25,36.78,12.305,4.528,Gym
78.483,124.085,4.889,37.181,18.074,3.058,Gym
23.386,116.864,2.385,37.151,11.693,2.186,Cycling
0.0,86.788,0.292,36.17,0.923,0.194,Desk Work
1.148,76.411,0.352,36.259,1.119,0.086,Desk Work
0.793,76.634,0.493,35.891,1.991,0.179,Desk Work
3.567,68.537,0.283,36.004,1.615,0.083,Desk Work
83.886,132.365,3.616,37.21,14.309,1.716,Gym
2.013,55.023,0.289,36.148,1.775,0.128,Desk Work
23.995,142.998,2.512,36.632,9.431,1.588,Cycling
13.814,114.666,1.965,36.674,10.094,2.498,Cycling
96.285,188.022,3.43,36.476,11.016,3.381,Gym
0.0,52.853,0.062,35.969,0.679,0.044,Sleeping
84.946,93.952,1.681,36.524,4.09,0.949,Walking
0.138,50.131,0.179,36.092,1.068,0.055,Sleeping
102.878,137.926,5.891,37.121,10.394,3.876,Gym
31.758,127.838,2.848,36.906,10.247,2.23,Cycling
0.0,44.663,0.165,35.816,1.209,0.099,Sleeping
0.0,50.49,0.045,36.161,1.159,0.061,Sleeping
162.689,171.92,3.52,37.108,15.565,2.593,Running
90.037,79.996,1.289,36.209,4.365,0.523,Walking
3.415,71.58,0.225,36.02,1.145,0.172,Desk Work
98.213,88.59,1.614,36.125,5.162,0.496,Walking
3.22,90.767,0.485,36.038,1.612,0.051,Desk Work
171.242,130.174,3.839,37.333,10.932,2.321,Running
89.086,90.416,1.42,36.354,3.787,0.729,Walking
0.572,50.767,0.13,35.801,1.313,0.045,Sleeping
14.272,119.114,2.101,37.307,10.006,2.227,Cycling
17.19,129.208,1.449,36.421,8.155,0.743,Cycling
58.786,132.936,3.953,37.364,16.483,2.929,Gym
82.095,98.276,1.573,36.471,5.118,0.755,Walking
0.716,52.651,0.087,36.212,1.027,0.035,Sleeping
158.541,165.864,3.793,36.207,11.071,2.411,Running
0.073,50.277,0.099,36.251,1.025,0.051,Sleeping
146.685,155.047,3.101,37.177,12.449,2.52,Running
180.037,143.753,3.469,37.142,9.454,2.344,Running
3.842,86.048,0.46,36.313,0.697,0.161,Desk Work
0.0,57.706,0.071,35.897,0.729,0.069,Sleeping
165.525,129.148,3.016,36.781,12.783,2.532,Running
20.457,129.158,1.646,37.275,11.321,1.598,Cycling
23.688,123.175,1.444,36.36,9.209,2.01,Cycling
2.995,58.498,0.367,36.081,1.766,0.175,Desk Work
1.158,55.804,0.047,36.041,1.253,0.049,Sleeping
98.08,92.531,1.928,36.32,6.887,0.494,Walking
0.0,50.749,0.099,36.004,0.888,0.066,Sleeping
75.543,144.31,3.566,36.767,15.528,3.48,Gym
45.265,135.592,3.988,37.575,15.71,3.009,Gym
31.166,103.265,1.855,35.96,8.693,1.817,Cycling
0.0,52.089,0.125,35.806,0.776,0.039,Sleeping
95.462,147.982,4.725,37.195,19.269,3.162,Gym
0.335,57.745,0.036,35.971,0.619,0.026,Sleeping
157.65,135.802,4.423,36.671,8.381,2.041,Running
79.551,138.954,5.957,37.286,16.622,3.809,Gym
101.204,98.011,1.634,36.348,4.584,1.21,Walking
94.393,97.524,2.001,36.638,4.56,0.511,Walking
136.156,148.153,3.749,36.841,10.433,1.842,Running
46.763,116.118,3.887,37.127,13.418,2.827,Gym
142.42,151.516,2.733,36.927,15.683,2.163,Running
7.502,150.151,2.539,36.685,11.892,1.63,Cycling
0.0,54.752,0.104,36.123,0.938,0.035,Sleeping
2.529,73.187,0.216,36.201,1.24,0.163,Desk Work
0.0,58.482,0.083,35.661,0.988,0.061,Sleeping
147.666,143.867,3.881,36.287,15.505,2.358,Running
43.126,132.906,4.081,36.634,13.431,2.008,Gym
2.062,77.921,0.289,36.19,1.823,0.173,Desk Work
0.531,67.945,0.473,36.207,1.623,0.137,Desk Work
3.761,87.757,0.396,36.687,1.829,0.173,Desk Work
100.044,98.114,1.48,36.337,3.831,0.752,Walking
90.076,102.103,1.735,36.346,4.608,0.945,Walking
0.0,66.7,0.113,35.813,0.918,0.049,Sleeping
66.65,170.536,3.789,36.757,14.893,3.237,Gym
3.027,75.381,0.271,36.255,1.535,0.197,Desk Work
130.138,169.605,2.931,36.648,10.274,2.384,Running
109.752,105.139,1.448,36.416,4.019,0.767,Walking
17.432,125.55,2.849,36.72,9.749,1.457,Cycling
150.925,154.979,4.342,36.487,11.785,2.763,Running
89.799,96.482,1.822,36.305,3.894,0.767,Walking
182.222,134.529,3.483,37.174,10.612,1.859,Running
100.38,76.106,1.261,36.774,4.349,0.686,Walking
148.554,154.815,4.848,36.79,15.132,2.981,Running
2.034,69.852,0.407,36.236,2.06,0.215,Desk Work
101.055,116.733,3.237,36.831,15.372,2.803,Gym
107.32,152.218,6.168,37.858,9.731,3.058,Gym
172.443,149.377,3.898,36.931,8.169,3.336,Running
20.126,134.314,1.899,36.498,8.851,1.537,Cycling
0.845,52.282,0.253,35.986,1.478,0.176,Desk Work
48.566,153.934,3.668,36.542,14.353,3.172,Gym
96.032,94.577,1.849,36.71,4.575,0.984,Walking
0.0,62.681,0.084,35.884,1.036,0.054,Sleeping
0.0,84.397,0.373,36.483,1.582,0.08,Desk Work
152.959,166.862,3.137,36.481,12.214,1.919,Running
27.583,123.849,1.947,37.242,9.774,1.895,Cycling
0.329,62.392,0.0,35.841,1.306,0.072,Sleeping
0.45,63.04,0.041,36.107,1.422,0.023,Sleeping
0.606,47.829,0.09,36.085,1.388,0.034,Sleeping
31.765,122.665,2.193,36.643,10.924,1.715,Cycling
72.534,94.162,1.671,36.585,3.194,0.652,Walking
29.71,123.415,4.042,36.871,16.574,3.705,Gym
169.384,160.816,3.982,37.228,13.524,1.871,Running
109.845,93.12,1.48,36.203,4.789,0.771,Walking
157.548,155.584,3.095,37.464,14.077,2.291,Running
0.0,54.009,0.023,36.019,0.889,0.076,Sleeping
18.937,114.154,2.448,36.847,7.132,2.008,Cycling
86.015,95.441,1.719,36.234,4.109,0.994,Walking
0.575,56.07,0.112,36.051,0.686,0.034,Sleeping
0.0,53.08,0.0,36.127,0.756,0.07,Sleeping
0.0,53.291,0.103,36.049,0.755,0.072,Sleeping
1.999,64.817,0.262,36.607,1.372,0.242,Desk Work
151.139,178.422,3.336,36.652,10.028,3.255,Running
20.88,141.992,2.108,36.582,10.965,2.238,Cycling
0.378,53.315,0.179,35.982,0.646,0.058,Sleeping
0.0,70.494,0.284,36.22,1.382,0.133,Desk Work
0.253,75.068,0.263,36.246,1.751,0.161,Desk Work
0.0,55.947,0.213,35.94,1.041,0.068,Sleeping
0.0,58.315,0.134,36.496,1.084,0.055,Sleeping
1.149,74.171,0.296,36.312,1.798,0.18,Desk Work
10.522,129.606,2.276,36.805,8.771,1.703,Cycling
94.401,149.684,5.606,37.043,17.194,2.889,Gym
90.433,87.431,1.696,36.611,5.052,0.996,Walking
55.025,157.754,4.331,37.466,13.822,2.855,Gym
157.307,136.245,4.539,36.964,16.317,2.089,Running
145.996,170.738,3.674,36.986,14.435,2.465,Running
5.398,68.716,0.28,36.048,1.541,0.132,Desk Work
61.736,138.863,4.375,37.066,12.288,3.695,Gym
2.743,82.809,0.195,36.188,1.433,0.204,Desk Work
10.546,123.933,2.286,37.087,9.527,1.012,Cycling
0.056,52.229,0.162,35.81,0.921,0.017,Sleeping
0.0,56.991,0.082,36.195,1.091,0.055,Sleeping
103.625,149.275,4.692,37.307,8.681,2.938,Gym
89.723,156.585,5.22,36.741,9.083,3.582,Gym
0.929,84.701,0.198,36.169,1.643,0.211,Desk Work
0.0,46.92,0.089,36.153,1.042,0.054,Sleeping
0.0,62.729,0.107,35.963,0.803,0.056,Sleeping
3.058,72.872,0.222,36.382,1.683,0.13,Desk Work
64.139,113.115,3.553,36.908,11.86,4.276,Gym
1.0,50.367,0.12,35.551,0.953,0.038,Sleeping
71.375,194.97,4.83,36.622,10.052,2.638,Gym
0.0,70.381,0.307,36.15,1.928,0.216,Desk Work
24.251,127.112,2.247,36.938,12.238,1.871,Cycling
4.337,69.984,0.129,36.296,1.647,0.165,Desk Work
102.223,106.413,1.638,36.783,4.301,0.683,Walking
143.239,145.334,4.396,36.943,9.828,2.746,Running
26.442,131.215,1.776,36.545,6.249,2.069,Cycling
57.654,109.005,4.915,37.493,12.222,3.532,Gym
124.238,151.811,4.936,36.586,16.136,3.013,Gym
0.0,52.937,0.119,36.122,1.025,0.057,Sleeping
97.452,102.13,1.778,36.336,6.079,0.715,Walking
0.0,50.234,0.041,35.806,1.001,0.034,Sleeping
87.007,130.364,5.947,37.292,12.639,2.695,Gym
160.459,158.793,3.016,36.998,10.794,2.852,Running
121.386,74.853,1.634,36.58,6.667,0.774,Walking
105.676,138.31,4.742,37.213,15.252,3.024,Gym
102.708,102.928,1.352,36.714,6.239,0.695,Walking
16.69,119.451,2.047,36.723,10.185,2.279,Cycling
0.208,70.707,0.439,36.37,1.041,0.119,Desk Work
85.909,97.723,1.56,36.471,2.977,0.914,Walking
82.45,152.546,4.866,36.855,19.65,3.829,Gym
1.015,60.779,0.336,36.255,1.928,0.118,Desk Work
5.796,76.591,0.271,36.352,1.243,0.127,Desk Work
95.106,78.485,1.212,36.371,3.109,0.575,Walking
166.976,167.603,3.718,36.878,13.088,1.982,Running
172.189,141.102,3.726,36.745,16.662,2.214,Running
4.908,77.223,0.223,36.404,1.151,0.109,Desk Work
91.932,107.273,1.647,36.221,5.338,0.843,Walking
2.438,78.615,0.291,36.13,0.927,0.126,Desk Work
29.012,145.607,4.245,36.959,9.304,2.363,Gym
173.467,160.281,4.103,37.47,9.96,2.506,Running
17.664,135.807,2.086,37.04,9.279,1.615,Cycling
100.354,96.789,2.044,35.867,3.758,0.511,Walking
0.0,70.995,0.273,36.178,1.614,0.288,Desk Work
2.814,72.251,0.375,36.31,1.505,0.137,Desk Work
147.439,159.741,3.823,36.569,12.598,2.442,Running
180.388,132.55,3.019,37.139,8.399,2.773,Running
1.425,81.868,0.089,36.27,1.017,0.146,Desk Work
58.389,108.052,5.204,37.096,15.688,2.753,Gym
22.807,125.049,2.291,36.176,7.863,1.359,Cycling
91.396,100.909,1.137,36.261,5.095,1.079,Walking
25.055,136.782,2.462,36.708,6.835,1.8,Cycling
100.698,94.397,1.438,36.169,5.667,1.091,Walking
154.328,171.694,3.827,36.634,13.106,1.992,Running
82.041,148.079,2.749,37.248,15.417,2.617,Gym
89.435,92.792,1.482,36.32,1.984,0.764,Walking
46.528,181.046,4.273,37.085,17.173,4.425,Gym
0.194,83.46,0.236,36.142,0.841,0.164,Desk Work
78.396,137.838,4.785,36.545,10.567,2.288,Gym
117.205,96.829,1.506,36.552,4.881,1.067,Walking
3.33,72.803,0.366,36.129,1.28,0.114,Desk Work
2.455,60.733,0.307,36.434,2.103,0.187,Desk Work
0.0,61.788,0.084,35.979,1.499,0.128,Desk Work
0.0,73.999,0.207,36.241,0.993,0.165,Desk Work
96.067,95.466,0.958,36.24,5.134,0.968,Walking
10.332,122.019,1.698,36.331,5.503,1.454,Cycling
0.0,71.268,0.122,36.085,1.266,0.115,Desk Work
1.102,75.117,0.526,36.38,1.65,0.16,Desk Work
90.71,86.498,1.951,36.546,4.559,0.801,Walking
176.144,157.248,3.994,36.9,11.878,2.618,Running
75.794,158.081,3.337,37.342,10.992,3.487,Gym
